genome	feature	cds	trg	denovo
GCA_000007305@Pyrococcus_furiosus_DSM_3638	gc	40.82486456386488	38.48360157239437	47.50084005376344
GCA_000007305@Pyrococcus_furiosus_DSM_3638	aromaticity	0.09483307402483625	0.10850516961066288	0.04816272965879265
GCA_000007305@Pyrococcus_furiosus_DSM_3638	instability	34.93392038916195	36.98628468676716	48.6931496062992
GCA_000007305@Pyrococcus_furiosus_DSM_3638	flexibility	0.9991725505423512	0.995542216073961	1.000923209961951
GCA_000007305@Pyrococcus_furiosus_DSM_3638	hydropathy	-0.06586883697799996	0.06491710645800487	0.1728083989501312
GCA_000007305@Pyrococcus_furiosus_DSM_3638	aa_A	0.06425081270943495	0.05152651014608508	0.08149606299212599
GCA_000007305@Pyrococcus_furiosus_DSM_3638	aa_C	0.006719576458825576	0.008510759453584777	0.0
GCA_000007305@Pyrococcus_furiosus_DSM_3638	aa_D	0.04245133954553038	0.032737581357285495	0.01968503937007874
GCA_000007305@Pyrococcus_furiosus_DSM_3638	aa_E	0.09108177048580679	0.08493931796592188	0.06482939632545931
GCA_000007305@Pyrococcus_furiosus_DSM_3638	aa_F	0.0438766232187104	0.05023782039642186	0.032414698162729655
GCA_000007305@Pyrococcus_furiosus_DSM_3638	aa_G	0.07003708468064364	0.05968581942356096	0.044225721784776906
GCA_000007305@Pyrococcus_furiosus_DSM_3638	aa_H	0.014788089894755467	0.011379076940867169	0.003937007874015748
GCA_000007305@Pyrococcus_furiosus_DSM_3638	aa_I	0.08873297233782228	0.0969612553101761	0.07755905511811023
GCA_000007305@Pyrococcus_furiosus_DSM_3638	aa_K	0.08431359896014456	0.08267671448673101	0.027559055118110236
GCA_000007305@Pyrococcus_furiosus_DSM_3638	aa_L	0.1025377631333637	0.11037810565283125	0.12086614173228347
GCA_000007305@Pyrococcus_furiosus_DSM_3638	aa_M	0.0232650352430971	0.031766044852446204	0.10301837270341208
GCA_000007305@Pyrococcus_furiosus_DSM_3638	aa_N	0.033338583089319286	0.03563082720058431	0.04816272965879265
GCA_000007305@Pyrococcus_furiosus_DSM_3638	aa_P	0.04118619125547079	0.036566427336843545	0.07664041994750656
GCA_000007305@Pyrococcus_furiosus_DSM_3638	aa_Q	0.01700569695019242	0.01731119428463449	0.0
GCA_000007305@Pyrococcus_furiosus_DSM_3638	aa_R	0.05475934768211278	0.05186246668974372	0.07755905511811023
GCA_000007305@Pyrococcus_furiosus_DSM_3638	aa_S	0.04815680502971278	0.058497026447953814	0.09724409448818898
GCA_000007305@Pyrococcus_furiosus_DSM_3638	aa_T	0.04266441901275033	0.04620347885559718	0.07270341207349082
GCA_000007305@Pyrococcus_furiosus_DSM_3638	aa_V	0.07987783950618092	0.0748622239844901	0.03635170603674541
GCA_000007305@Pyrococcus_furiosus_DSM_3638	aa_W	0.012183405894167653	0.015887734016459536	0.003937007874015748
GCA_000007305@Pyrococcus_furiosus_DSM_3638	aa_Y	0.03877304491195819	0.04237961519778148	0.011811023622047244
GCA_000007305@Pyrococcus_furiosus_DSM_3638	gene_length	832.7759771210677	391.21008403361344	238.5
GCA_000009965@Thermococcus_kodakarensis_KOD1	gc	52.363563038956535	49.42652352395231	54.166666666666664
GCA_000009965@Thermococcus_kodakarensis_KOD1	aromaticity	0.09201792166427407	0.10136272412644301	0.05128205128205128
GCA_000009965@Thermococcus_kodakarensis_KOD1	instability	34.616899748293	36.950313619857404	48.42564102564102
GCA_000009965@Thermococcus_kodakarensis_KOD1	flexibility	0.9990121638457037	0.9970506016270418	0.993163492063492
GCA_000009965@Thermococcus_kodakarensis_KOD1	hydropathy	-0.08386203345901604	-0.02622437417804755	-0.32051282051282054
GCA_000009965@Thermococcus_kodakarensis_KOD1	aa_A	0.07301963246357697	0.06809054942281971	0.10256410256410256
GCA_000009965@Thermococcus_kodakarensis_KOD1	aa_C	0.006067500780471657	0.006794395690478416	0.0
GCA_000009965@Thermococcus_kodakarensis_KOD1	aa_D	0.04618300369191186	0.0425589809467049	0.0
GCA_000009965@Thermococcus_kodakarensis_KOD1	aa_E	0.09219406501462413	0.09161234395813657	0.02564102564102564
GCA_000009965@Thermococcus_kodakarensis_KOD1	aa_F	0.04285367185120494	0.04828854970938674	0.05128205128205128
GCA_000009965@Thermococcus_kodakarensis_KOD1	aa_G	0.07389975555361318	0.06393345836462633	0.05128205128205128
GCA_000009965@Thermococcus_kodakarensis_KOD1	aa_H	0.01533066107350467	0.01098841670537198	0.02564102564102564
GCA_000009965@Thermococcus_kodakarensis_KOD1	aa_I	0.07037203979561261	0.06588114798370738	0.05128205128205128
GCA_000009965@Thermococcus_kodakarensis_KOD1	aa_K	0.07195223904737692	0.07150700556432725	0.07692307692307693
GCA_000009965@Thermococcus_kodakarensis_KOD1	aa_L	0.10779900473763658	0.1196513098464977	0.10256410256410256
GCA_000009965@Thermococcus_kodakarensis_KOD1	aa_M	0.024493915965825806	0.02990702405812903	0.05128205128205128
GCA_000009965@Thermococcus_kodakarensis_KOD1	aa_N	0.029875279231732527	0.02857470858899421	0.02564102564102564
GCA_000009965@Thermococcus_kodakarensis_KOD1	aa_P	0.04193824851609907	0.037549060926731326	0.07692307692307693
GCA_000009965@Thermococcus_kodakarensis_KOD1	aa_Q	0.01737051165489122	0.018901983724633205	0.0
GCA_000009965@Thermococcus_kodakarensis_KOD1	aa_R	0.060933393282772044	0.06225276234656865	0.20512820512820512
GCA_000009965@Thermococcus_kodakarensis_KOD1	aa_S	0.04842965783723244	0.056397674873171016	0.07692307692307693
GCA_000009965@Thermococcus_kodakarensis_KOD1	aa_T	0.04360231764637689	0.04225145781015738	0.0
GCA_000009965@Thermococcus_kodakarensis_KOD1	aa_V	0.08452085204246737	0.08178499506250195	0.07692307692307693
GCA_000009965@Thermococcus_kodakarensis_KOD1	aa_W	0.012748195675616003	0.017116135126943797	0.0
GCA_000009965@Thermococcus_kodakarensis_KOD1	aa_Y	0.03641605413745313	0.03595803929011247	0.0
GCA_000009965@Thermococcus_kodakarensis_KOD1	gene_length	830.1792207792208	445.50666666666666	120.0
GCA_000011105@Pyrococcus_horikoshii_OT3	gc	41.8352723390117	39.68862686175481	
GCA_000011105@Pyrococcus_horikoshii_OT3	aromaticity	0.09301548832393526	0.11016740234519738	
GCA_000011105@Pyrococcus_horikoshii_OT3	instability	34.57487480368122	38.400427153052554	
GCA_000011105@Pyrococcus_horikoshii_OT3	flexibility	0.9994074482003698	0.9961438846280627	
GCA_000011105@Pyrococcus_horikoshii_OT3	hydropathy	-0.07621774750591843	0.02655388830406123	
GCA_000011105@Pyrococcus_horikoshii_OT3	aa_A	0.06290411599847083	0.055425923626639687	
GCA_000011105@Pyrococcus_horikoshii_OT3	aa_C	0.006176566173181991	0.0073349845478730405	
GCA_000011105@Pyrococcus_horikoshii_OT3	aa_D	0.044278655701753294	0.03478672491541731	
GCA_000011105@Pyrococcus_horikoshii_OT3	aa_E	0.09082939190558828	0.09179576124788083	
GCA_000011105@Pyrococcus_horikoshii_OT3	aa_F	0.042730785273544986	0.047178450460756076	
GCA_000011105@Pyrococcus_horikoshii_OT3	aa_G	0.0705950822510524	0.05554627966052144	
GCA_000011105@Pyrococcus_horikoshii_OT3	aa_H	0.014173863197181369	0.011289305814525077	
GCA_000011105@Pyrococcus_horikoshii_OT3	aa_I	0.08997913340034165	0.09292538945732913	
GCA_000011105@Pyrococcus_horikoshii_OT3	aa_K	0.08478821410965458	0.08491547329206992	
GCA_000011105@Pyrococcus_horikoshii_OT3	aa_L	0.10340524873289705	0.11548570900468659	
GCA_000011105@Pyrococcus_horikoshii_OT3	aa_M	0.024120030261862775	0.02865493504459949	
GCA_000011105@Pyrococcus_horikoshii_OT3	aa_N	0.03294019887079403	0.036285065696220045	
GCA_000011105@Pyrococcus_horikoshii_OT3	aa_P	0.040515070750877034	0.030367749798919954	
GCA_000011105@Pyrococcus_horikoshii_OT3	aa_Q	0.015971623645385603	0.01689455146093511	
GCA_000011105@Pyrococcus_horikoshii_OT3	aa_R	0.05734405567975404	0.050932783088229336	
GCA_000011105@Pyrococcus_horikoshii_OT3	aa_S	0.048508780782162426	0.0591470986489404	
GCA_000011105@Pyrococcus_horikoshii_OT3	aa_T	0.041526386101528534	0.04350815864707094	
GCA_000011105@Pyrococcus_horikoshii_OT3	aa_V	0.07892809411357887	0.07453670370294432	
GCA_000011105@Pyrococcus_horikoshii_OT3	aa_W	0.011877698627046192	0.019921432829856214	
GCA_000011105@Pyrococcus_horikoshii_OT3	aa_Y	0.038407004423344084	0.04306751905458509	
GCA_000011105@Pyrococcus_horikoshii_OT3	gene_length	856.1414087513341	411.97402597402595	
GCA_000018365@Thermococcus_onnurineus_NA1	gc	51.71950895217772	48.663825933088965	
GCA_000018365@Thermococcus_onnurineus_NA1	aromaticity	0.09245062698898535	0.11042848967344412	
GCA_000018365@Thermococcus_onnurineus_NA1	instability	34.10536518005312	36.70281301109729	
GCA_000018365@Thermococcus_onnurineus_NA1	flexibility	0.997837576458094	0.9901595750159603	
GCA_000018365@Thermococcus_onnurineus_NA1	hydropathy	-0.03009428755751959	0.267755399022956	
GCA_000018365@Thermococcus_onnurineus_NA1	aa_A	0.07431716348606118	0.07015742960255487	
GCA_000018365@Thermococcus_onnurineus_NA1	aa_C	0.006762349484449428	0.005771634962614817	
GCA_000018365@Thermococcus_onnurineus_NA1	aa_D	0.04606241667699125	0.03229429175003765	
GCA_000018365@Thermococcus_onnurineus_NA1	aa_E	0.08833733539744246	0.06700906789685164	
GCA_000018365@Thermococcus_onnurineus_NA1	aa_F	0.04355543446443929	0.057929905737604814	
GCA_000018365@Thermococcus_onnurineus_NA1	aa_G	0.07463719059285684	0.06621660798388396	
GCA_000018365@Thermococcus_onnurineus_NA1	aa_H	0.01621172752723501	0.01347355189900504	
GCA_000018365@Thermococcus_onnurineus_NA1	aa_I	0.07742050007469112	0.07784400810558853	
GCA_000018365@Thermococcus_onnurineus_NA1	aa_K	0.07102905370826991	0.06340977204494876	
GCA_000018365@Thermococcus_onnurineus_NA1	aa_L	0.10671145295578055	0.1304432584382007	
GCA_000018365@Thermococcus_onnurineus_NA1	aa_M	0.02637949371774384	0.03490190286571227	
GCA_000018365@Thermococcus_onnurineus_NA1	aa_N	0.029960903920986017	0.03217291309647671	
GCA_000018365@Thermococcus_onnurineus_NA1	aa_P	0.04108297612259329	0.03645898319369155	
GCA_000018365@Thermococcus_onnurineus_NA1	aa_Q	0.01724731591649165	0.016385493180590512	
GCA_000018365@Thermococcus_onnurineus_NA1	aa_R	0.058684312830418715	0.057244211455688095	
GCA_000018365@Thermococcus_onnurineus_NA1	aa_S	0.04626303148701589	0.0590262914816962	
GCA_000018365@Thermococcus_onnurineus_NA1	aa_T	0.0444668307486986	0.0451726723383941	
GCA_000018365@Thermococcus_onnurineus_NA1	aa_V	0.08197531836328889	0.08158942003062046	
GCA_000018365@Thermococcus_onnurineus_NA1	aa_W	0.012118308013241031	0.0182682318290022	
GCA_000018365@Thermococcus_onnurineus_NA1	aa_Y	0.03677688451130503	0.03423035210683711	
GCA_000018365@Thermococcus_onnurineus_NA1	gene_length	841.2054108216433	428.47222222222223	
GCA_000022365@Thermococcus_gammatolerans_EJ3	gc	53.74736458200094	49.63129140675229	52.327890650385655
GCA_000022365@Thermococcus_gammatolerans_EJ3	aromaticity	0.09196529429910308	0.10594709320985014	0.10917687513432195
GCA_000022365@Thermococcus_gammatolerans_EJ3	instability	35.03087747336609	34.47957565086512	39.087491045203805
GCA_000022365@Thermococcus_gammatolerans_EJ3	flexibility	0.9982381166023323	0.995292564224951	0.9999981147824689
GCA_000022365@Thermococcus_gammatolerans_EJ3	hydropathy	-0.07113032302698305	0.03376105781168138	-0.3604681567447525
GCA_000022365@Thermococcus_gammatolerans_EJ3	aa_A	0.07264832951605027	0.06610714511183151	0.05397951142631994
GCA_000022365@Thermococcus_gammatolerans_EJ3	aa_C	0.006474673114633439	0.007521460975439366	0.003787878787878788
GCA_000022365@Thermococcus_gammatolerans_EJ3	aa_D	0.0449251300618838	0.038605986874829794	0.01978114478114478
GCA_000022365@Thermococcus_gammatolerans_EJ3	aa_E	0.09039643180466554	0.08195733407873416	0.0801364710939179
GCA_000022365@Thermococcus_gammatolerans_EJ3	aa_F	0.04259016876919264	0.04796562863151548	0.03907873056809227
GCA_000022365@Thermococcus_gammatolerans_EJ3	aa_G	0.07605593906253441	0.0691235660821911	0.11290207034887885
GCA_000022365@Thermococcus_gammatolerans_EJ3	aa_H	0.01569053259298532	0.012430290584344705	0.06048069345941687
GCA_000022365@Thermococcus_gammatolerans_EJ3	aa_I	0.0698798965068243	0.06642590104155924	0.054946629414714517
GCA_000022365@Thermococcus_gammatolerans_EJ3	aa_K	0.06805396339482928	0.06689490814068547	0.06631026577835088
GCA_000022365@Thermococcus_gammatolerans_EJ3	aa_L	0.10900050741271046	0.11982413418734333	0.08663765312701482
GCA_000022365@Thermococcus_gammatolerans_EJ3	aa_M	0.023921507729388926	0.026692795086965298	0.010880077369439071
GCA_000022365@Thermococcus_gammatolerans_EJ3	aa_N	0.029359286213765004	0.03282224083828028	0.05543018840891181
GCA_000022365@Thermococcus_gammatolerans_EJ3	aa_P	0.04242082791058874	0.037195162586596824	0.0686474675836378
GCA_000022365@Thermococcus_gammatolerans_EJ3	aa_Q	0.015987076138485327	0.0169767878567858	0.015509706999068701
GCA_000022365@Thermococcus_gammatolerans_EJ3	aa_R	0.06588656969759127	0.05856566304658786	0.04484561931370442
GCA_000022365@Thermococcus_gammatolerans_EJ3	aa_S	0.04771630953923052	0.05896286332335281	0.01978114478114478
GCA_000022365@Thermococcus_gammatolerans_EJ3	aa_T	0.044054769737290105	0.04960312125922297	0.04899168994913675
GCA_000022365@Thermococcus_gammatolerans_EJ3	aa_V	0.08556295526744022	0.08434354571539934	0.08777491224299734
GCA_000022365@Thermococcus_gammatolerans_EJ3	aa_W	0.01282249776594984	0.01841040474135499	0.014667956157317858
