genome	cds	gc_content	aromaticity	instability	mean_flexibility	hydropathy	len_nu	type
Thermococcus_23_2	DLHNAOEN_01913_gene_mRNA	0.8829325512770617	0.1069182389937107	63.04654088050314	1.0016838095238094	-0.8465408805031446	480	denovo
GCA_000275605@Pyrococcus_furiosus_COM1	EDEBIHJP_00574_gene_mRNA	1.1428815873974112	0.06299212598425197	45.40629921259841	1.0047834947538339	-0.1677165354330709	384	denovo
Thermococcus_E15P35	PDKJIDNC_00363_gene_mRNA	0.8446382535228274	0.13043478260869565	43.0363768115942	1.0004642857142858	-0.19565217391304351	210	denovo
GCA_008152015@Thermococcus_aciditolerans_SY113	AJGPKGBP_00419_gene_mRNA	0.8842333579875788	0.10179640718562874	53.747305389221545	0.9999058167570826	-0.6125748502994013	504	denovo
Thermococcus_sp_DS1	LBKKHDLG_00914_gene_mRNA	0.9189278950039841	0.08196721311475409	65.2934426229508	1.0078740842490843	-0.5524590163934426	186	denovo
GCA_001433455@Thermococcus_barophilus_CH5	LPGJLMGN_02261_gene_mRNA	0.9029780515290655	0.06818181818181818	18.247727272727275	1.0207431972789116	-0.7090909090909091	135	denovo
Pyrococcus_32_1	ADNHAJGI_00301_gene_mRNA	0.576489245004054	0.05714285714285714	-9.134285714285713	0.9746845238095238	0.7857142857142857	108	denovo
Pyrococcus_sp_32_4	ANCILGIH_00907_gene_mRNA	0.991731929835323	0.02857142857142857	48.12142857142855	1.0178274785323966	-0.7485714285714286	213	denovo
GCA_000816105@Thermococcus_guaymasensis_DSM_11113	GMIOLJND_00985_gene_mRNA	0.7734983500841617	0.05405405405405406	30.282432432432433	1.018320879120879	-0.768918918918919	225	denovo
GCA_902813195@Thermococcus_sp_2319x1_Essen	HPMEPLIM_01176_gene_mRNA	1.1659004078662947	0.12000000000000001	37.505333333333304	1.008174422799423	-0.396	228	denovo
Pyrococcus_31_3	OPFPOKDM_00145_gene_mRNA	0.9917463420620726	0.02857142857142857	48.12142857142855	1.0178274785323966	-0.7485714285714286	213	denovo
Thermococcus_sp_CIR_03a	KKEPLHJF_01462_gene_mRNA	0.7262576826192212	0.13793103448275862	10.027586206896554	0.9695476190476191	0.8999999999999999	90	denovo
Pyrococcus_sp_32_3	EDCHFHLE_01783_gene_mRNA	0.576481076153543	0.05714285714285714	-9.134285714285713	0.9746845238095238	0.7857142857142857	108	denovo
GCA_000022365@Thermococcus_gammatolerans_EJ3	IOIKJFFK_01357_gene_mRNA	1.0501948990796546	0.0851063829787234	50.07446808510638	1.006719611528822	-0.6468085106382978	144	denovo
Pyrococcus_sp_32_3	EDCHFHLE_01264_gene_mRNA	1.0416723692658616	0.1111111111111111	58.24722222222223	1.0066763668430336	0.2083333333333333	111	denovo
GCA_000009965@Thermococcus_kodakarensis_KOD1	DKCGPBOD_00839_gene_mRNA	1.0417570554674176	0.05128205128205128	48.42564102564102	0.993163492063492	-0.32051282051282054	120	denovo
GCA_002197185@Thermococcus_sp_5_4	GMODMALF_00815_gene_mRNA	0.8829308416915153	0.1069182389937107	63.04654088050314	1.0016838095238094	-0.8465408805031446	480	denovo
GCA_001484685@Thermococcus_sp_2319x1	FDFCGALF_01917_gene_mRNA	1.1256590636844748	0.06097560975609756	36.21463414634145	1.0060229941291585	-0.5109756097560977	249	denovo
GCA_006274605@Thermococcus_indicus_IOH1	PBPJMCNB_01075_gene_mRNA	0.8443965948422049	0.14529914529914528	18.49230769230769	0.9811696428571429	0.1692307692307692	354	denovo
GCA_002214485@Thermococcus_pacificus_P4	HGDGAMDH_00213_gene_mRNA	1.0598652994277729	0.058823529411764705	61.77500000000001	1.0171676755447943	-1.3617647058823528	207	denovo
Thermococcus_waiotapuensis_WT1	PBMLHHBH_01917_gene_mRNA	0.9439337043527934	0.09859154929577466	33.22394366197183	1.0023070276497696	-0.08591549295774652	216	denovo
Thermococcus_sp_E10P11	GNDPMMCP_02166_gene_mRNA	0.8406533279775926	0.13043478260869565	49.487101449275364	0.9988476190476191	-0.15507246376811598	210	denovo
GCA_001592435@Thermococcus_peptonophilus_OG_1	HGKANDNA_01718_gene_mRNA	0.7889358432961429	0.0625	25.250000000000004	1.0028266178266179	-0.04166666666666669	147	denovo
GCA_900198835@Thermococcus_henrietii_EXT12c	LHBEBFMA_01401_gene_mRNA	1.0069312756679634	0.10326086956521739	41.18429347826086	0.9943544217687075	0.0684782608695652	555	denovo
Thermococcus_sp_TPV	BEODAGIL_01262_gene_mRNA	1.0068487525402638	0.05970149253731343	22.061194029850746	0.9909571018062399	0.9149253731343284	204	denovo
Thermococcus_sp_AMTc71	PHBODLGA_00461_gene_mRNA	0.8084474997697402	0.07317073170731708	43.28780487804878	1.0071361607142857	-1.0707317073170732	126	denovo
Pyrococcus_32_1	ADNHAJGI_00145_gene_mRNA	0.9917470915059681	0.02857142857142857	48.12142857142855	1.0178274785323966	-0.7485714285714286	213	denovo
Thermococcus_sp_AMTc72	NJBILLPB_00461_gene_mRNA	0.8084442168347828	0.07317073170731708	43.28780487804878	1.0071361607142857	-1.0707317073170732	126	denovo
Thermococcus_sp_IRI_33c	KNECDIJF_00704_gene_mRNA	0.9755952830962298	0.03125	30.221875000000004	1.016439440993789	-0.66875	99	denovo
Thermococcus_marinus_DSM_15227	IONHLECP_01767_gene_mRNA	1.0062934873225289	0.022727272727272728	39.47954545454546	1.0051455782312926	-0.6613636363636364	135	denovo
Thermococcus_AMTc85	HGJLAOHP_00498_gene_mRNA	1.0367612002159936	0.056338028169014086	41.17323943661972	1.0003907450076805	0.39859154929577467	216	denovo
Pyrococcus_31_3	OPFPOKDM_00301_gene_mRNA	0.5764888093623978	0.05714285714285714	-9.134285714285713	0.9746845238095238	0.7857142857142857	108	denovo
Pyrococcus_31_3	OPFPOKDM_00554_gene_mRNA	0.6984383651890588	0.0784313725490196	43.3470588235294	0.9695753968253968	1.1823529411764706	156	denovo
Pyrococcus_31_3	OPFPOKDM_02026_gene_mRNA	1.0416863427861085	0.1111111111111111	58.24722222222223	1.0066763668430336	0.2083333333333333	111	denovo
GCA_028471785@Thermococcus_kodakarensis_TS900	IBPOIFOJ_00837_gene_mRNA	1.04188861550039	0.05128205128205128	48.42564102564102	0.993163492063492	-0.32051282051282054	120	denovo
GCA_000585495@Thermococcus_nautili_30_1	AMHJKFND_00757_gene_mRNA	1.0079517853922833	0.058823529411764705	57.478151260504205	1.0079685064935064	-0.6789915966386555	360	denovo
GCA_002214605@Thermococcus_chitonophagus	HCEHDMML_01191_gene_mRNA	0.684952750147893	0.0784313725490196	43.3470588235294	0.9685039682539682	1.2333333333333334	156	denovo
Pyrococcus_sp_32_4	ANCILGIH_00499_gene_mRNA	0.6984282153637831	0.0784313725490196	43.3470588235294	0.9695753968253968	1.1823529411764706	156	denovo
Thermococcus_EXT11c	OKCMFDEG_00691_gene_mRNA	0.9936620459447508	0.03508771929824561	44.92456140350876	1.0154769345238095	-0.6578947368421053	174	denovo
Thermococcus_sp_E10P8	GKAADPKM_02166_gene_mRNA	0.8406580024635838	0.13043478260869565	49.487101449275364	0.9988476190476191	-0.15507246376811598	210	denovo
GCA_002214525@Thermococcus_sp_P6	CNPDMPNG_00739_gene_mRNA	1.0365276564866013	0.08791208791208792	46.22527472527471	1.002557636469222	-0.19890109890109892	276	denovo
GCA_001484685@Thermococcus_sp_2319x1	FDFCGALF_00036_gene_mRNA	0.7814120554813319	0.24615384615384617	23.01230769230769	0.9820877976190477	0.34307692307692306	198	denovo
Thermococcus_marinus_DSM_15227	IONHLECP_02284_gene_mRNA	0.8566294852941292	0.08064516129032258	58.68870967741935	1.0025251572327045	-0.4709677419354839	189	denovo
Thermococcus_stetteri_DSM_5262	ACBJCPJC_02229_gene_mRNA	1.0256548954768985	0.12	34.777999999999984	0.9914079016221874	-0.009000000000000043	303	denovo
Pyrococcus_EXT16	KGGIBHBC_00480_gene_mRNA	1.0199724410406896	0.1388888888888889	58.24722222222223	1.0018245149911817	0.3083333333333333	111	denovo
GCA_020386975@Thermococcus_bergensis_T7324	KOPGNMII_01455_gene_mRNA	0.8769367166716148	0.125	30.187500000000004	0.9714428571428572	1.2666666666666666	75	denovo
Thermococcus_sp_AMTc94	CJOMCJEF_02177_gene_mRNA	0.8311437996866193	0.13043478260869565	44.266811594202906	0.9968142857142858	-0.07101449275362322	210	denovo
GCA_002214385@Thermococcus_gorgonarius_W_12	LBEMKAPA_01754_gene_mRNA	0.9566162899023686	0.03508771929824561	57.11929824561402	1.0145079365079366	-0.9614035087719298	174	denovo
Thermococcus_coalescens_TS1	AFABOCMA_02009_gene_mRNA	0.8026773087915166	0.168141592920354	43.81061946902653	0.9867414148351649	0.37787610619469025	342	denovo
Pyrococcus_EXT16	KGGIBHBC_01519_gene_mRNA	0.8745218255625163	0.11627906976744186	32.76744186046513	0.9913161764705883	-0.14186046511627912	132	denovo
Thermococcus_sp_CIR_10a	GHGJAMGE_02025_gene_mRNA	1.012038838540617	0.0	20.184210526315788	1.0021999178981937	-0.5368421052631579	117	denovo
Thermococcus_coalescens_TS1	AFABOCMA_00991_gene_mRNA	1.0527924817131302	0.04819277108433735	84.37951807228914	1.0125381274131275	-1.2313253012048193	252	denovo
Thermococcus_sp_E15p33	EGODEMLK_01592_gene_mRNA	0.8433910155055198	0.13043478260869565	43.0363768115942	1.0004642857142858	-0.19565217391304351	210	denovo
Thermococcus_AMTc11	GFJMONNO_00541_gene_mRNA	1.0258449015932813	0.057692307692307696	46.34999999999999	1.0001479949874688	0.05288461538461537	315	denovo
Thermococcus_sp_E15p33	EGODEMLK_00126_gene_mRNA	1.051681489165085	0.04444444444444444	25.973333333333326	1.0073901171579742	-0.3511111111111111	408	denovo
Pyrococcus_sp_32_4	ANCILGIH_01271_gene_mRNA	1.041671204822763	0.1111111111111111	58.24722222222223	1.0066763668430336	0.2083333333333333	111	denovo
GCA_000246985@Thermococcus_litoralis_DSM_5473	DKLHHBAG_02012_gene_mRNA	0.6962628934837158	0.13793103448275862	87.4448275862069	1.0093803571428572	-0.30689655172413793	90	denovo
GCA_001647085@Thermococcus_piezophilus_CDGS	DOACLEJL_02110_gene_mRNA	1.0368735566072418	0.11688311688311688	43.12337662337661	0.9970847338935575	-0.20519480519480526	234	denovo
Thermococcus_AMTc51	PCHKGBCN_01343_gene_mRNA	0.932108340284474	0.0967741935483871	35.30483870967742	0.995277628032345	0.029032258064516103	189	denovo
Thermococcus_AMTc51	PCHKGBCN_01240_gene_mRNA	0.8366137562389956	0.06956521739130435	43.228695652173904	0.9966716082659479	0.2260869565217391	348	denovo
Thermococcus_stetteri_DSM_5262	ACBJCPJC_01068_gene_mRNA	0.9532927402745407	0.08955223880597014	29.828358208955216	1.0069913793103449	-0.5208955223880597	204	denovo
Thermococcus_sp_AMTc79	EFDKJKPG_00294_gene_mRNA	0.7524221534595302	0.16494845360824742	34.217010309278365	0.9895356499356499	-0.05257731958762888	585	denovo
Pyrococcus_sp_32_3	EDCHFHLE_02036_gene_mRNA	0.6984289961091001	0.0784313725490196	43.3470588235294	0.9695753968253968	1.1823529411764706	156	denovo
Thermococcus_sp_AMTc79	EFDKJKPG_02040_gene_mRNA	0.9405276918244128	0.0392156862745098	63.59019607843137	1.0200450680272108	-0.7117647058823531	156	denovo
Pyrococcus_endeavori_ES4	FOMOJKPC_00710_gene_mRNA	0.9795387076867983	0.024096385542168676	52.60722891566264	1.0133573037323038	-0.8530120481927711	252	denovo
GCA_000265525@Thermococcus_cleftensis_CL1	GCEEKKGH_00611_gene_mRNA	0.9114917553774057	0.05357142857142857	94.65892857142856	1.01872695035461	-0.7910714285714286	171	denovo
GCA_001592435@Thermococcus_peptonophilus_OG_1	HGKANDNA_01424_gene_mRNA	0.9549410936563729	0.2	36.02727272727273	0.98354917184265	0.1745454545454545	168	denovo
