TBCH5v1_RS00005.mRNA.0	WP_056933029.1	55802	0.0	99.8
TBCH5v1_RS00005.mRNA.0	WP_013466356.1	55802;391623	0.0	99.8
TBCH5v1_RS00005.mRNA.0	WP_324735433.1	3111325	0.0	99.8
TBCH5v1_RS00005.mRNA.0	WP_297126570.1	35749	0.0	99.8
TBCH5v1_RS00005.mRNA.0	HIP88501.1	582419	0.0	99.8
TBCH5v1_RS00005.mRNA.0	HIP75346.1	582419	0.0	99.8
TBCH5v1_RS00005.mRNA.0	WP_042679386.1	582419	0.0	99.8
TBCH5v1_RS00005.mRNA.0	WP_167885246.1	1638260;1638262;2627626	0.0	99.8
TBCH5v1_RS00005.mRNA.0	WP_087037312.1	2265	0.0	99.8
TBCH5v1_RS00005.mRNA.0	WP_004069448.1	2265;523849	0.0	99.8
TBCH5v1_RS00005.mRNA.0	WP_252743743.1	139207	0.0	99.8
TBCH5v1_RS00005.mRNA.0	MCD6188996.1	35749	0.0	99.8
TBCH5v1_RS00005.mRNA.0	RLF80300.1	2250254	0.0	99.8
TBCH5v1_RS00005.mRNA.0	WP_152878733.1	2654197	0.0	99.8
TBCH5v1_RS00005.mRNA.0	WP_055283875.1	1591054	0.0	99.8
TBCH5v1_RS00005.mRNA.0	WP_253305474.1	110163	0.0	99.8
TBCH5v1_RS00005.mRNA.0	RLF82795.1	2250254	0.0	99.8
TBCH5v1_RS00005.mRNA.0	WP_251949230.1	2866384	0.0	99.8
TBCH5v1_RS00005.mRNA.0	WP_042699958.1	2263;2666349;2689387	0.0	99.8
TBCH5v1_RS00005.mRNA.0	KUJ99740.1	1635283;2666349	0.0	99.8
TBCH5v1_RS00005.mRNA.0	MDN5320390.1	2666349	0.0	99.8
TBCH5v1_RS00005.mRNA.0	WP_058947657.1	1674923	0.0	99.8
TBCH5v1_RS00005.mRNA.0	WP_175059767.1	1674923	0.0	99.8
TBCH5v1_RS00005.mRNA.0	RLF83977.1	2250254	0.0	99.8
TBCH5v1_RS00005.mRNA.0	WP_167888931.1	1638272	0.0	99.8
